COSERO_LamaH_daily                                 10:58 21 06 2021
NB_	IZ_	NZ_	TONZ_	Div_TONZ	QDIV_LT_	QDIV_UT_	QDIV_RATIO_	X_COORD	Y_COORD	WATERBODY_	DFZON_	ELEV_	NC_	ETSLPCOR_	CTMAX_	CTMIN_	NVAR_	RAINTRT_	SNOWCOR_	SNOWTRT_	THRT_	M_	FK_	PWP_	KBF_	BETA_	FKFAK_	H1_	H2_	TAB1_	TAB2_	TVS1_	TVS2_	TAB4_	TAB3_	TAB5_	PCor1_	PCor2_	PCor3_	PCor4_	PCor5_	PCor6_	PCor7_	PCor8_	PCor9_	PCor10_	PCor11_	PCor12_	TCor1_	TCor2_	TCor3_	TCor4_	TCor5_	TCor6_	TCor7_	TCor8_	TCor9_	TCor10_	TCor11_	TCor12_	TMMon1_	TMMon2_	TMMon3_	TMMon4_	TMMon5_	TMMon6_	TMMon7_	TMMon8_	TMMon9_	TMMon10_	TMMon11_	TMMon12_	INTMAX1_	INTMAX2_	INTMAX3_	INTMAX4_	INTMAX5_	INTMAX6_	INTMAX7_	INTMAX8_	INTMAX9_	INTMAX10_	INTMAX11_	INTMAX12_	ETVEGCOR1_	ETVEGCOR2_	ETVEGCOR3_	ETVEGCOR4_	ETVEGCOR5_	ETVEGCOR6_	ETVEGCOR7_	ETVEGCOR8_	ETVEGCOR9_	ETVEGCOR10_	ETVEGCOR11_	ETVEGCOR12_	DAYSDRY1_	DAYSDRY2_	DAYSDRY3_	DAYSDRY4_	DAYSDRY5_	DAYSDRY6_	DAYSDRY7_	DAYSDRY8_	DAYSDRY9_	DAYSDRY10_	DAYSDRY11_	DAYSDRY12_	DAYSWET1_	DAYSWET2_	DAYSWET3_	DAYSWET4_	DAYSWET5_	DAYSWET6_	DAYSWET7_	DAYSWET8_	DAYSWET9_	DAYSWET10_	DAYSWET11_	DAYSWET12_	ETSYSCOR1_	ETSYSCOR2_	ETSYSCOR3_	ETSYSCOR4_	ETSYSCOR5_	ETSYSCOR6_	ETSYSCOR7_	ETSYSCOR8_	ETSYSCOR9_	ETSYSCOR10_	ETSYSCOR11_	ETSYSCOR12_	KMELTRINI_	KSHINI_	KSWINI_	TSOILINI_	BW0INI_	BW1INI_	BW2INI_	BW3INI_	BW4INI_	BAREGR_	CTNeg_	CTRed_	DWHCAP_	EVPNS_	EVPSNO_	NSRHOMAX_	PEX2_	PEX3_	SETCON_	SNOWDET_	SOILTYPE_	SRHOMAX_	TSOILMAX_	TSOILMIN_	TVAR_	UADJ_	WHCAP_	SPARE1_	SPARE2_	SPARE3_	GLAC_CT_	GLAC_GLFAKT_	GLAC_ICECOV_	GLAC_TAB_
13	1	13	683	683	0	0	0	0	0	0	31.153	1480	3	0.5016	4.0717	3.4401	1.8059	2.9131	1	-1.8546	0	107.1435	1	0	2587.6294	9.8347	0.9725	1.0519	20.2816	9.231	60.1005	36.6899	955.9581	0.7102	7652.2402	1.3721	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-5.7	-4.53	-1.05	2.11	6.92	11.05	13.24	13.02	9.48	5.7	-0.68	-4.6	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
14	1	14	442	442	0	0	0	0	0	0	14.067	1289	3	0.5074	6.8321	4.0484	4.0003	3.739	1	0.5408	0	41.9295	1	0	1978.8418	3.2396	0.9979	10.0327	19.0749	2.5192	1.6612	31.1351	755.2659	2.871	929.02	0.7555	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-3.91	-2.9	0.71	4.26	9.49	13.12	15.19	14.93	11.27	7.38	1.11	-2.65	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
15	1	15	683	683	0	0	0	0	0	0	84.104	764	3	0.6795	5.6075	5.5075	2.3556	1.5501	1	-1.8719	0	112.8603	1	0	9935.25	3.0559	0.9995	6.5267	23.4315	8.1553	49.5006	51.2314	318.1659	0.3742	3736.5732	0.216	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-2.3	-1.46	2.36	6.38	11.3	14.71	16.74	16.47	12.71	8.7	2.74	-0.94	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
16	1	16	0	0	0	0	0	0	0	0	6.809	763	6	0.8348	5.0201	6.0218	7.1736	0.9844	1	-1.8984	0	142.2892	1	0	9951.0938	6.44	0.588	4.6753	5.9908	4.7375	352.379	26.4374	141.7607	0.4393	1744.6958	3.7294	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-2.18	-1.22	2.7	6.73	11.68	15.13	17.15	16.86	13.07	8.99	2.97	-0.83	1	1	1	1.3	1.7	2	2	2	2	1.5	1	1	0.6	0.6	0.6	0.6	0.9	1.1	1.1	1.1	0.9	0.6	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
17	1	17	0	0	0	0	0	0	0	0	105.084	634	3	1.3258	6.1775	6.3971	1.1285	1.5148	1	-1.9861	0	37.4424	1	0	9965.3701	9.9041	0.8106	1.9948	6.7573	12.3654	191.0925	16.4207	174.4575	0.7554	1709.27	3.4096	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-1.54	-0.75	3.19	7.39	12.16	15.56	17.57	17.29	13.47	9.35	3.49	-0.13	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
18	1	18	443	592	0	1	0.0008	0	0	0	25.443	2077	3	0.5158	6.5481	6.5042	2.2233	3.7936	1	-1.5146	0	16.0958	1	0	1020.2859	0.2857	0.9976	1.0925	1.4686	55.888	409.6396	40.2394	906.3591	0.1377	1419.7261	0.0804	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-8.77	-7.17	-3.42	-0.11	4.09	8.19	10.81	10.64	7.14	3.31	-3.33	-7.75	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
19	1	19	684	684	0	0	0	0	0	0	64.262	1712	3	0.5018	4.3114	5.8069	4.6837	0.1526	1	-1.9239	0	176.869	1	0	1055.5806	0.1717	0.9802	1.1605	28.2943	36.6104	237.8313	30.8055	383.9862	0.0674	8778.0215	0.0947	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.7	-6.26	-2.63	0.6	4.92	9.1	11.52	11.29	7.82	4.01	-2.47	-6.6	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
20	1	20	684	684	0	0	0	0	0	0	66.517	1692	3	1.8678	6.4833	5.8974	1.0019	1.5802	1	-1.9336	0	44.7849	1	0	9976.4033	5.5352	0.8451	1.2254	17.9202	72.206	480.1376	31.8282	355.9172	0.1341	6528.0977	0.1536	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.9	-6.29	-2.51	0.81	5.26	9.36	11.67	11.43	7.98	4.17	-2.35	-6.71	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
21	1	21	557	557	0	0	0	0	0	0	202.593	1769	7	1.9897	6.9191	6.6234	2.6132	2.0188	1	-1.9142	0	496.9822	1	0	2356.8193	0.8273	0.1068	1.2341	13.9594	127.3087	444.3646	19.3169	301.4595	0.2038	3800.1191	0.2255	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.02	-5.37	-1.65	1.67	6.43	10.36	12.54	12.31	8.83	4.97	-1.39	-5.84	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.65	0.65	0.65	0.7	0.75	0.75	0.75	0.7	0.65	0.65	0.65	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
22	1	22	557	557	0	0	0	0	0	0	65.206	1403	5	1.9872	6.9922	6.8435	0.2275	0.0721	1	-1.9216	0	496.6285	1	0	4664.0801	6.8029	0.2151	14.0591	0.7202	196.1717	299.9233	2.9593	28.0474	0.0834	9751.6436	0.3797	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-6.56	-4.83	-0.91	2.48	7.29	11.15	13.33	13.06	9.49	5.5	-0.93	-5.41	3.5	3.5	3.5	3.7	3.8	4	4	4	4	3.8	3.5	3.5	0.8	0.8	0.8	0.8	1	1.05	1.05	1.05	1	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
23	1	23	557	557	0	0	0	0	0	0	46.422	1782	7	1.9903	6.9264	6.3173	1.7195	0.2742	1	-1.9326	0	495.8194	1	0	3701.8184	0.9842	0.1381	1.4311	10.8452	100.4196	408.5443	27.6616	344.8185	0.1002	9988.0684	1.5717	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.08	-5.38	-1.56	1.84	6.61	10.42	12.58	12.33	8.89	5.07	-1.27	-5.81	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.65	0.65	0.65	0.7	0.75	0.75	0.75	0.7	0.65	0.65	0.65	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
24	1	24	558	558	0	0	0	0	0	0	86.967	1510	5	1.9851	6.4138	6.3814	2.6485	0.0422	1	-1.982	0	496.1208	1	0	9950.7207	0.4399	0.1021	4.2669	8.2434	42.3389	469.5729	17.2406	348.3139	7.3373	9737.8857	1.2766	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.27	-5.58	-1.73	1.67	6.4	10.28	12.45	12.2	8.76	4.95	-1.44	-5.97	3.5	3.5	3.5	3.7	3.8	4	4	4	4	3.8	3.5	3.5	0.8	0.8	0.8	0.8	1	1.05	1.05	1.05	1	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
